Lead PI	Co-Leaders	Institution Name	Unit	Official Farm Name	UniqueID	NW Lat	NW Lon	NE Lat	NE Lon	SE Lat	SE Lon	SW Lat	SW Lon	Raw LonLat	Latitude	Longitude	State	County	City (nearest)	Landscape Slope (%)	Depth of Tile (m)	Tile Spacing (m)	Establishment Year 	Y1 for CAP	Site Area (ha)	Plot Size (ha)	Number of Plots/ Subplots	IEM Climate Site	Additional Information	Notes 2011	Notes 2012	Notes 2013	Notes 2014	Notes 2015
Strock		University of Minnesota 	Department of Soil, Water, and Climate	Southwest Research and Outreach Center	HICKS.P	44 20 14.45	-95 33 20.40	44 20 15.10	-95 33 15.06	44 20 07.09	-95 33 14.90	44 20 06.93	-95 33 19.47		44.3387	-95.5593	MN	Redwood	Tracy	<1	N/A	N/A	2006	2011	2.9	0.971	3	MN8323 TRACY	Prairie provides an undisturbed, reference condition. “Historic” carbon data exists -> These soils were analyzed by Dr. John Baker (USDA-ARS, St. Paul). Data was only collected once from the Prairie. 					
Dick		The Ohio State University	School of Environment and Natural Resources	Northwest Agricultural Research Station	HOYTVILLE.LTR	41.2227	-83.7625	41.2228	-83.7612	41.2217	-83.7612	41.2217	-83.7625		41.2167	-83.7667	OH	Wood	Custar	0-1	1.02	TBD	1963	2011	1.4	0.019	18	OH3874 HOYTVILLE 2 NE	TBD Flooding concerns?	C and N cob values are estimates	C and N cob values are estimates	C and N cob values are estimates	C and N cob values are estimates	C and N cob values are estimates
Sawyer		Iowa State University	Department of Agronomy	Agricultural Engineering and Agronomy Research Farms	ISUAG	42.0099	-93.7814	42.0101	-93.7801	42.0091	-93.7801	42.0090	-93.7814		42.0094	-93.7806	IA	Boone	Boone	0-5	N/A	N/A	2008	2011	0.9	0.009	16	IA0200 AMES-8-WSW		Decagon Soil Moisture and Temperature Probes installed May 2011.	July 11 - Sept. 8, 2012: lost data from the soil moisture and temperature sensors. Data was downloaded but lost on the laptop after download.	July 23, 2013: wind and hail storm damaged corn leaves and caused significant lodging. Soybean leaves were damaged as well. Some pictures of the corn were taken for future record.  In July there was a rainstorm that had high wind and hail at the Ames cover crop site. This damaged the corn and soybean plants. Soybean growth was stunted due to tissue defoliation and breaking off of growing points. Corn was just beginning the pollination stage, and plants were lodged and had tissue damage. Corn plants have since recovered to some extent from the lodging, but hail damage to the leaves, stalks, and ear shoots reduced plant biomass and light interception. In addition, hail damage to the ear shoot has allowed smut disease to infect some ears, eliminating grain production on those ears. The late summer conditions were quite dry and changed from cool temperatures to near record high temperatures. The dry and hot conditions will further reduce crop yield potential in the corn and soybean crops.  Fall 2013: Soil sampling could not be completed at all profile depths due to hard soil conditions (a result of the summer and fall drought)	Overall, a very wet growing season. This affected corn growth significantly. Plots 208W, 302W, 311W (corn) had poor growth all year due to prolonged saturated soils. Soybeans did somewhat better, but there was still a small stand loss due to excess water. Plots 302E, 308E, 410E.	1. Quite a lot of issues with the Decagon soil moisture sensors. Soil sensors would fail and dataloggers would not download data.  3. Reps 2 and 3 remained wet for a good portion of the growing season, especially in the corn.  5. Overall, corn yields were not maximized due to high wheel traffic and wet conditions. The #120 N rate did not produce the max. agronomic yields in corn.  6. Soybeans looked good all year, yield levels were good.
Helmers		Iowa State University	Department of Agricultural and Biosystems Engineering	Agricultural Engineering and Agronomy Research Farms	ISUAG.USB	42.02182	-93.75989	42.02183	-93.75867	42.02093	-93.75867	42.02092	-93.75987		42.02133	-93.75929	IA	Boone	Boone	2-5	N/A	N/A	2008	2014	0.8	0.013	64	IA0200 AMES-8-WSW	Field 21-22 at Ames farm. 					
Kravchenko		Michigan State University	Department of Plant, Soil and Microbial Sciences	W.K. Kellogg Biological Station	KELLOGG	42 24' 58.55	-85 22' 10.64	42 24' 58.57	-85 22' 05.49	42 24' 55.53	-85 22' 06.64	42 24' 55.45	-85 22' 10.90		42.4145	-85.3684	MI	Barry	Hickory Corners	0-6	N/A	N/A	2011	2012	1.3	0.019	72	MI3504 Gull Lake Biological Station	The experiment is located at three topographical positions - summit, slope, and depression. There are two blocks at each position for a total of 6 replications. It is a split-plot design with phase (corn/soybean) as a whole plot factor and cover crop (present/absent) as a subplot factor).	Cob C and N – will use estimated values	Cob C and N – will use estimated values	Cob C and N – will use estimated values	Cob C and N – will use estimated values	Cob C and N – will use estimated values
Lauer		University of Wisconsin	Department of Agronomy	Lancaster Agricultural Research Station	LAN	 42°49'54.20"N	 90°47'49.61"W	42°49'52.87"N	-90°47'37.83"W	 42°49'51.43"N	 90°47'38.75"W 	 42°49'52.70"N	 90°47'49.48"W	90°47'37.79"W        42°49'52.90"N 90°47'43.13"W        42°49'54.38"N 90°47'49.61"W        42°49'54.20"N 90°47'49.48"W        42°49'52.70"N 90°47'43.94"W        42°49'52.88"N 90°47'38.75"W        42°49'51.43"N              	42.8297	-90.7887	WI	Grant	Lancaster	6-10 ?	N/A	N/A	1966	2011	1.2	0.139	12	WI4546 LANCASTER 4 WSW	no drainage other than ditch drainage which exists for high intensity rainfalls 					
Lauer		University of Wisconsin	Department of Agronomy	Marshfield Agricultural Research Station	MAR	44.7619	-90.0987	44.7619	-90.0977	44.7604	-90.0977	44.7603	-90.0986		44.7610	-90.0982	WI	Marathon	Marshfield	0-2	N/A	N/A	2005	2011	2.0	0.034	18	WI8241 STRATFORD 1 NW	no drainage other than ditch drainage which exists for high intensity rainfalls 					
Kravchenko		Michigan State University	Department of Plant, Soil and Microbial Sciences	Michigan State University Agronomy Farm: Mason Research Farm	MASON	42 37' 45.55	-84 26' 07.37	42 37' 45.60	-84 26' 03.26	42 37' 40.96	84 26' 03.32	42 37' 40.97	84 26' 07.21		42.6293	-84.4352	MI	Ingham	East Lansing	0-4	N/A	N/A	1990s	2011	1.3	0.019	72	MI2395 EAST LANSING 4 S	The experiment is located at three topographical positions - summit, slope, and depression. There are two blocks at each position for a total of 6 replications. It is a split-plot design with phase (corn/soybean) as a whole plot factor and cover crop (present/absent) as a subplot factor).	Cob C and N – will use estimated values	Cob C and N – will use estimated values	Cob C and N – will use estimated values	Cob C and N – will use estimated values	Cob C and N – will use estimated values
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.WS109	40.3704	-81.7940								40.3703	-81.7942	OH	Coshocton	Coshocton	12.7	N/A	N/A	1938	2011	1.1	0.684	9	OH1905 COSHOCTON AG RSCH STN		This is a conventional plot, however, we have no record of it being sprayed with a burn-down herbicide before oats/red clover were sowed.	Dry cob weights were not taken. Therefore, stover moisture percent was used in the calulations  At harvest, large bare patches were present in the plot where corn did not grow. In some places where the corn had grown, the ears were stripped by deer.		 5/8/2014 bulk density samples and water retention cores taken 5/21/2014 soil samples with Giings probe for pH, CEC, SOc, TN     10/27/2014 took soil fertility samples: three samples at  each of T1,T2,T3 composited into bucket. Same for middle and bottom locations.	5cm and 10cm sensors were pulled out of the sockets due to heave of the post that the datalogger is attached to; therefore no data 1-6-15 to 1-14-15.  4/15/2015  cover crops had deteriorated due to winter kill, and significant amount of volunteer winter wheat  5/28/2015  soil samples for bulk density and water retention; T1,T2,T3,M1 and B3, 4 depths  6/3/2015 7:30 SOIL SAMPLES WITH Giddings probes: 0-10cm.10-20, 20-40, 40-60cm. T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited  9/28/2015 Checked corn development: about 1% black layer at 23% moisture  10/20/2015 collected soil fertility samples 11/3/2015  collected soil samples with Giddings probe for  NO3 (0-30, 30-60 60-90 cm) and SQI (0-10,10-20, 20-40, 40-60cm) fromtop, middle and bottom.  T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited. 11/4/2015 removed Decagon sensors and EM50 dataloggers
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.WS111	40.3674	-81.7820								40.3675	-81.7820	OH	Coshocton	Coshocton	7.5	N/A	N/A	1938	2011	0.7	0.478	9	OH1905 COSHOCTON AG RSCH STN			Wheat was not planted in the fall; oats were planted in the spring. Grain was not mature, and was therefore baled in the straw	Corn cob biomass estimated from wet biomass measurement using corn grain moisture measurement	4/28/2014 bulk density and water retention cores taken 5/27/2014 soil samples with Giddings probe trailer for CEC, pH, SOC and TN.  7/16/2014 14:00 Smoothed a load of soil on west berm near building and applied grass seed.  10/27/2014 soil fertility samples  	5/11&12/2015 soil samples for bulk density water retention  6/3/2015 11:10  Took SOIL SAMPLES WITH Giddings probes: 0-10cm.10-20, 20-40, 40-60cm. T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited  7/20/2015  wheat moisture 14.0% at scales when sold; net wt. 6,300 lbs  10/8/2015  collected soil samples with Giddings probe for  NO3 (0-30, 30-60 60-90 cm) and SQI (0-10,10-20, 20-40, 40-60cm) from top, middle and bottom.  T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  10/16/2015  collected Soil fertility samples; T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  11/4/2015  Removed Decagon sensors and EM50 dataloggers 
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.WS113	40.3671	-81.7799								40.3671	-81.7796	OH	Coshocton	Coshocton	9.3	N/A	N/A	1938	2011	1.0	0.587	9	OH1905 COSHOCTON AG RSCH STN					4/28/2014 bulk density and water retention samples taken 5/21/2014 soil samples with Giddings probe trailer 10/28/2014 soil fertility samples	10/18/2015  collected soil samples with Giddings probe for  NO3 (0-30, 30-60 60-90 cm) and SQI (0-10,10-20, 20-40, 40-60cm) from top, middle and bottom.  T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited. 10/19/2015  collected Soil fertility samples; T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited. 11/4/2015  Removed Decagon sensors and EM50 dataloggers  
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.WS115	40.3753	-81.7833								40.3735	-81.7864	OH	Coshocton	Coshocton	6.6	N/A	N/A	1938	2011	1.0	0.652	9	OH1905 COSHOCTON AG RSCH STN		 		7/18/2013 to 7/31/2013 misc gliches with 50cm sensor for unknown reasons.  8/26/2013 to 9/19/2013 5cm and 10cm sensors not working for unknown reasons. Although watershed was planted to organic corn, weed pressure resulted in termination by mowing, baling, and wrapping for silage.	soybeans were terminated 7/21/14.  10/27/2014 took soil fertility samples   	5/12&13/2015  took soil samples for bulk density and water retention  6/2/2015 13:00 Took soil samples with Giddings probe.  6/10/2015 13:00 Pulled thisltle in watershed  08/19/2015 Bushhogged field. Foxtail and thistle  10/9/2015  collected soil samples with Giddings probe for  NO3 (0-30, 30-60 60-90 cm) and SQI (0-10,10-20, 20-40, 40-60cm) fromtop, middle and bottom.  T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  10/12/2015 Bushhogged foxtail.  10/16/2014  collected Soil fertility samples; T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  11/4/2015  Removed Decagon sensors and EM50 dataloggers 
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.WS118	40.3648	-81.7868								40.3649	-81.7870	OH	Coshocton	Coshocton	9.6	N/A	N/A	1938	2011	1.0	0.793	9	OH1905 COSHOCTON AG RSCH STN					5/7/2014 bulk density and water retention samples taken 5/27/2014 soil samples taken with Giddings probe traier 10/23/2014 collected 6 more corn ear samples 10/28/2014 collected soil fertility samples	6/3/2015 8:30 Took soil samples with Giddings probe trailer  7/22&23/2015  soil samples for bulk density and water retention  10/8/2015  collected soil samples with Giddings probe for  NO3 (0-30, 30-60 60-90 cm) and SQI (0-10,10-20, 20-40, 40-60cm) fromtop, middle and bottom.  T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  10/20/2015  collected Soil fertility samples; T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  11/4/2015  Removed Decagon sensors and EM50 dataloggers   
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.WS123	40.3741	-81.7884								40.3739	-81.7882	OH	Coshocton	Coshocton	5.8	N/A	N/A	1938	2011	0.9	0.554	9	OH1905 COSHOCTON AG RSCH STN			Due to foxtail pressure, all fodder was cut and removed as round bale forage. No plant population record, however, biomass samples were taken as a combination of all vegetation in the quadrant.	Due to weed pressure of foxtail and thistle, soybean crop was  terminated by brush hog	5/14/2014 Replaced 50cm Decagon sensor that had not been working all year. Apparently, all the other sensor data was lost in the process (from the time of the last download to the 14th.) 	9/28/2015   checked corn development - very few ears in bottom 2/3 of the watershed. Most stalks have no ears developed. Ears that did develop have been stripped(eaten) by deer and other animals.  10/20/2015  collected Soil fertility samples; T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  11/3/2015  collected soil samples with Giddings probe for  NO3 (0-30, 30-60 60-90 cm) and SQI (0-10,10-20, 20-40, 40-60cm) fromtop, middle and bottom.  T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  11/5/2015  Removed Decagon sensors and EM50 dataloggers 
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.WS127	40.3743	-81.7900								40.3743	-81.7900	OH	Coshocton	Coshocton	9	N/A	N/A	1949	2011	0.9	0.668	9	OH1905 COSHOCTON AG RSCH STN					4/24/2014 took bulk density cores which will also be used for water retention curves 5/20/2014 sampled soil with Giddings probe for CEC, pH,SOC, TN	7/16/2015 14:00 Installed decagon probes in profile adjacent to other probes. (10 cm and 30 cm)  10/9/2015 collected soil samples with Giddings probe for  NO3 (0-30, 30-60 60-90 cm) and SQI (0-10,10-20, 20-40, 40-60cm) from top, middle and bottom.  T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  10/16/2015   collected Soil fertility samples; T1,T2,T3 were composited; M1,M2,M3 were composited; B1,B2,B3 were composited.  11/5/2015 Removed Decagon sensors and EM50 dataloggers 
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.Y102	40.3707	-81.7950							40º 22' 14.76206"N,  81º 47' 38.39310"W,  Altitude: 362.932m	40.3707	-81.7938	OH	Coshocton	Coshocton	13	N/A	N/A	1938	2011	0.1	0.001 TBD	1	OH1905 COSHOCTON AG RSCH STN		Y102 is connected to WS109; so is not organic.  2010 - all watersheds were planted in corn. No organic plots existed.				
Fausey		USDA Agricultural Research Service	Soil Drainage Research Unit	North Appalachian Experimental Watershed Agricultural Research Station	NAEW.Y103	40.3738	-81.7888							40º 22' 25.45586"N, 81º 47' 19.68114"W;  Altitude: 342.555 m	40.3738	-81.7889	OH	Coshocton	Coshocton	6	N/A	N/A	1938	2011	0.1	0.001 TBD	1	OH1905 COSHOCTON AG RSCH STN		Y103 is connected to WS123; so is organic.  2010 - all watersheds were planted in corn. No organic plots existed.			 	
Nafziger	Villamil	University of Illinois	Department of Crop Sciences	Northwestern Illinois Agricultural Research and Demonstration Center	NWREC	40.9317	-90.7281	40.9317	-90.7264	40.9299	-90.7265	40.9300	-90.7281		40.9308	-90.7273	IL	Warren	Monmouth	0-2	TBD Shallow - define	TBD	1997	2011	2.0	0.045	80	IL5768 MONMOUTH	Each rotation plot is split by tillage, with one-half tilled and the other half planted no-till.					
Lal		The Ohio State University	School of Environment & Natural Resources	N/A	ONFARM.AUGLAIZE									Woodland location: 40.4608, -84.44502	40.4595	-84.4450	OH	Auglaize	New Bremen	0-1	0.81	Unknown	N/A	2012	N/A	N/A	9	N/A						
Lal		The Ohio State University	School of Environment & Natural Resources	N/A	ONFARM.FRANKLIN									NCC1: N 40o00'41.2" , W083o12'23.1", Elev: 315.2 m NCC2: N 40o00'40.2" , W083o12'22.2", Elev: 289.1 m NCC3: N 40o00'40.3" , W083o12'28.0", Elev: 289.6 m CC1: N 40o00'39.0" , W083o12'22.0", Elev: 343.3 m CC2: N 40o00'39.1" , W083o12'30.1", Elev: 287.3 m    CC3: N 40o00'39.4" , W083o12'28.2", Elev: 285.1 m 	40.0114	-83.2064	OH	Franklin	Hilliard	0-2	N/A	N/A	N/A	2012	N/A	N/A	6	N/A				The site had been cultivated by no-till (NT) practice under corn and soybean (Glycin max L.) annual rotation. However, a mixture of pea (Pisum sativum L.) and turnips (Brassica rapa L.) with the seeding rate of 140 kg ha-1 was seeded by broadcasting method prior to growing soybean in 2013 after previous year corn. Thus, treatments tested in the on-farm experiment included soil with no-cover-crop (NCC) and soil with 1-year of cover-crop (CC) and triplicate soil samples were collected for each management practice. The NT plots received previous year’s crop-residues of 9.8 ± 1.8 Mg ha-1 and were grown to a winter cover crop. Dry granular N as fertilizer rate of 150 pounds acre.	No cover crop grown in 2014 and so no vegetation sampling in 2014 in this site was undertaken in 2014.	
Lal		The Ohio State University	School of Environment & Natural Resources	N/A	ONFARM.LOGAN1									Mc-NT-1 (no crop): N 40o25'14.0" W083o40'58.6" Elev: 391.3 m Mc-NT-2 (no crop): N 40o25'12.4" W083o40'55.9" Elev: 324.5 m Mc-NT-3 (no crop): N 40o25'12.4" W083o40'55.9" Elev: 391.3 m Mc-CT-1: N 40o25'15.1" W083o40'56.6" Elev: 372.1 m Mc-CT-2: N 40o25'15.0" W083o40'55.9" Elev: 375.2 m Mc-CT-3: N 40o25'15.4" W083o40'55.6" Elev: 374.1 m	40.42045, 	-83.6824	OH	Logan	Rushsylvania	0-4	N/A	N/A	N/A	2012	N/A	N/A	6	N/A						
Lal		The Ohio State University	School of Environment & Natural Resources	N/A	ONFARM.LOGAN2									CrB-NT-1: N 40o24'52.4" W083o39'21.9" Elev: 392.2 m CrB -NT-2: N 40o24'55.7" W083o39'23.1" Elev: 391.1 m CrB -NT-3: N 40o24'53.5" W083o39'24.0" Elev: 394.2 m CrB -CT-1: N 40o24'55.6" W083o39'30.2" Elev: 388 m CrB -CT-2: N 40o24'55.6" W083o39'29.7" Elev: 383.9 m CrB -CT-3: N 40o24'55.6"W083o39'29.1" Elev: 382.8 m	40.4151	-83.6573	OH	Logan	Rushsylvania	0-6	N/A	N/A	N/A	2012	N/A	N/A	6	N/A				The soil is classified as Crosby silt loam		
Lal		The Ohio State University	School of Environment & Natural Resources	N/A	ONFARM.MIAMI	40.1718	-84.1289	40.1714	-84.1232	40.1678	-84.1235	40.1681	-84.1292	Woodland location: 40.1815, -84.1136	40.1815	-84.1136	OH	Miami 	Fletcher	0-2	N/A	N/A	N/A	2012	N/A	N/A	12	N/A						The woodland plots are on a separate field from others but close. 
Lal		The Ohio State University	School of Environment & Natural Resources	N/A	ONFARM.PREBLE									Woodland location: 39.76569, -84.61033	39.6959	-84.6103	OH	Preble 	Eaton	0-1	0.91 to 1.07	Unknown	N/A	2012	N/A	N/A	9	N/A					No planting in 2014. No fertilized applied. Machinery:  John Deere 2520 approx. 8000 lbs\ Haybine, rake, tedder, round baler	No-till management for 25 years
Lal		The Ohio State University	School of Environment & Natural Resources	N/A	ONFARM.SENECA1									Woodland location: 41.00713, -83.27508	41.4300	-83.2156	OH	Sandusky	Lindsey	0-2	0.81 for NT; 0.46 for CT	Unknown	N/A	2012	N/A	N/A	12	N/A	alternative coordinates of the site 41° 00′ 25″ N, 85 °16′ 21″ W (see: V. de Paul Obade, R. Lal / Geoderma 232–234 (2014) 56–68)					This is two separate farms versus 1 field. 
Lal		The Ohio State University	School of Environment & Natural Resources	N/A	ONFARM.SENECA2	41.2156	-82.9131	41.2156	-82.9083	41.2120	-82.9083	41.2120	-82.9132	Woodland location: 41.21562, -82.91312	41.2140	-82.9107	OH	Seneca	Flat Rock	0-2	N/A	N/A	N/A	2012	N/A	N/A	9	N/A						This is actually 2 separate but adjacent farms. 
Nafziger	Villamil	University of Illinois	Department of Crop Sciences	Orr Agricultural Research and Demonstration Center	ORR	TBD	TBD	TBD	TBD	TBD	TBD	TBD	TBD		39.8011	-90.8212	IL	Pike	Perry	0-4	N/A	N/A	1997	2012	2.0	0.045	58	IL3717 Griggsville	Each rotation plot is split by tillage, with one-half tilled and the other half planted no-till.					
